,Source_url,article_title,article_text,published_date,language
0,https://www.demorgen.be/nieuws/concrete-dreiging-in-denemarken-door-koranverbrandingen-grenscontrole-wordt-aangescherpt~b3d5794b/,"‘Concrete dreiging’ in Denemarken door koranverbrandingen, grenscontrole wordt aangescherpt","Reizigers die de Deense grens oversteken, kunnen komende week te maken krijgen met strengere controles. De aangescherpte grenscontrole is nodig om de ‘huidige concrete dreiging’ tegen te gaan die is ontstaan na diverse koranverbrandingen in het land, zegt het ministerie van Justitie.De strengere grenscontroles richten zich op mensen die vanuit Zweden Denemarken binnenkomen. Er zijn verschillende bootverbindingen tussen beide landen en er loopt een brug van Malmö naar Kopenhagen. Volgens het Deense ministerie van Justitie zullen er meer willekeurige controles worden uitgevoerd tot zeker 10 augustus.Ook Zweden heeft de grenscontroles aangescherpt. De politie mag mensen aanhouden, fouilleren en auto’s doorzoeken. Volgens de Zweedse premier Ulf Kristersson heeft Zweden te maken met de “lastigste veiligheidssituatie sinds de Tweede Wereldoorlog”, door de dreiging rondom de koranverbrandingen, de toetreding tot de NAVO en de oorlog in Oekraïne.Net als Zweden worstelt Denemarken met koranverbrandingen. Begin dit jaar besloot de Deens-Zweedse extreem-rechtse activist Rasmus Paludan in Stockholm een koran te verbranden. In de maanden daarna kreeg hij navolging van verschillende activisten, in Zweden en Denemarken. Met name in juli nam het aantal koranverbrandingen toe.De regeringen veroordelen de acties, maar zeggen ook de vrijheid van meningsuiting te willen respecteren. Moslims in het buitenland reageren woest. In Pakistan en Irak zijn aanvallen of pogingen tot aanvallen gedaan op de Zweedse en Deense ambassades. Islamitische landen hebben ook woedend gereageerd en ambassadeurs van de Scandinavische landen op het matje geroepen.Naar aanleiding van de boze reacties hebben Zweden en Denemarken gezegd te kijken naar een aanscherping van hun wetten. Zo wil Denemarken koranverbrandingen bij ambassades verbieden. In juli werden bij de Egyptische, Iraakse en Turkse ambassade korans verbrand. Onduidelijk is echter hoe Denemarken dat juridisch wil regelen. Zweden wil kijken of de politie meer mogelijkheden kan krijgen om aanvragen voor koranverbrandingen af te keuren.Gevreesd wordt dat de koranverbrandingen leiden tot aanvallen op Zweden en Denen of Zweedse en Deense doelen in binnen- en buitenland. Afgelopen week was er een aanval bij het Zweedse consulaat in de Turkse stad Izmir, maar het is onduidelijk of die aanval verband houdt met de koranverbrandingen. Een verstandelijke gehandicapte man van wie een visumaanvraag zou zijn geweigerd, schoot een Turkse medewerker van het consulaat neer.",2023-08-04T09:45:28+0200,NL
0,https://www.demorgen.be/snelnieuws/president-van-niger-reageert-in-opiniestuk-op-staatsgreep-ik-ben-een-gijzelaar~b5991bbf/,President van Niger reageert in opiniestuk op staatsgreep: ‘Ik ben een gijzelaar’,"De afgezette president Mohamed Bazoum heeft voor het eerst gereageerd op de staatsgreep in Niger. Hij doet dat in een opiniestuk, dat gepubliceerd werd in de Amerikaanse krant The Washington Post. ‘Als de coup succes heeft, zal het vernietigende gevolgen hebben voor ons land, onze regio en de hele wereld’, schrijft hij.In het artikel roept Bazoum de internationale gemeenschap en de Verenigde Staten op tot het herstellen van zijn regering. “Ik schrijf dit als een gijzelaar”, klinkt het. “Niger wordt aangevallen door een militaire junta die probeert onze democratie omver te werpen en ik ben slechts een van de honderden burgers die willekeurig en illegaal gevangengenomen zijn.”“Als de coup succes heeft, zal het vernietigende gevolgen hebben voor ons land, onze regio en de hele wereld”, schrijft Bazoum. Hij gaat onder meer in tegen de beweringen van de militaire junta, die naar eigen zeggen handelt om de veiligheid van Niger te garanderen.De president benadrukt dat de aanvallen van jihadistische terroristen juist zijn verminderd en dat ontheemden hebben kunnen terugkeren naar hun dorpen. “Niger is veiliger dan ooit in de afgelopen vijftien jaar”, schrijft hij. “De veiligheidssituatie van Niger is aanzienlijk beter dan die van onze buren Mali en Burkina Faso, waarvan de regering, beide geïnstalleerd door militaire staatsgrepen, de illegale coup steunen.”Bazoum wijst ook op zijn sociaaleconomisch beleid, dat vorig jaar leidde tot een verdrievoudiging van de economische groei. “We kunnen ons niet permitteren om dit momentum te verliezen”, aldus Bazoum. Hij schetst een beeld van “een autocratische junta zonder visie of betrouwbare bondgenoten” en wijst op de al fors gestegen prijs van rijst en op de voedings- en stroomtekorten in Niger. “Boko Haram en andere terreurorganisaties zullen zeker misbruik maken van Nigers instabiliteit” en onder andere hun “antiwesterse indoctrinatie” van jongeren verder opvoeren.“In onze tijd van nood roep ik de Amerikaanse regering en de hele internationale gemeenschap op om onze grondwettelijke orde te herstellen”, besluit Bazoum zijn betoog. “Vechten voor onze gedeelde waarden, waaronder democratisch pluralisme en respect voor de rechtsstaat, is de enige manier om duurzame vooruitgang te boeken tegen armoede en terrorisme. Het Nigerese volk zal uw steun nooit vergeten op dit kantelpunt in onze geschiedenis.”Intussen hebben de coupplegers de militaire samenwerking met Frankrijk stopgezet. Een vertegenwoordiger van de junta las het besluit donderdagavond op de nationale televisie voor. Hij voegde eraan toe dat een diplomatiek bericht naar Frankrijk zal worden gestuurd. Frankrijk heeft nog niet gereageerd. Ook riep het nieuwe bewind de Nigerese ambassadeurs in Frankrijk, de Verenigde Staten, Nigeria en Togo terug.Frankrijk heeft tussen de 1000 en 1500 militairen in Niger die helpen bij het bestrijden van een opstand van groepen die banden hebben met al-Qaeda en Islamitische Staat die zich over de regio heeft verspreid.Niger speelt een belangrijke rol in de Franse en westerse strategieën om de jihadistische opstand te bestrijden die de Sahel sinds 2012 teistert. Het anti-Franse sentiment in de regio lijkt toegenomen, aangewakkerd door Rusland, dat de laatste jaren steeds prominenter aanwezig is via de huurlingengroep Wagner.",2023-08-04T09:31:00+0200,NL
0,https://www.demorgen.be/snelnieuws/kiosk-op-antwerpse-groenplaats-afgesloten-na-aanhoudende-overlast-uitwerpselen-kwamen-in-metrostation-terecht~bbb85fb3/,Kiosk op Antwerpse Groenplaats afgesloten na aanhoudende overlast: uitwerpselen kwamen in metrostation terecht,"In de Antwerpse binnenstad is de kiosk op de Groenplaats door de politie afgesloten vanwege aanhoudende overlast. Horeca-uitbaters klagen er al langer over personen onder invloed van drugs en alcohol die mensen lastigvallen, onderling vechten of hun gevoeg doen.De kiosk op de Groenplaats is een klein podium waar bij evenementen of manifestaties muziek wordt gespeeld of toespraken plaatsvinden. De laatste tijd werd de constructie echter vaak ingepalmd door daklozen en drugsverslaafden, die er zelfs hun gevoeg deden. Voor de politie is de maat nu vol. Er werden hekken geplaatst aan de toegangstrap.Onder de kiosk bevindt zich het metrostation aan de Groenplaats en daar kwamen zelfs uitwerpselen in terecht.“Dat was bijzonder onhygiënisch”, zegt Wouter Bruyns van de lokale politie in Antwerpen aan VRT NWS. “Zo creëer je ook een onveiligheidsgevoel op de Groenplaats. De kiosk afsluiten lijkt te werken. Er is nu minder overlast.”Hoe lang de maatregel zal gelden, is niet duidelijk. Er staat wel een heraanleg gepland van het plein waarbij de kiosk sowieso zal verdwijnen, maar die werken starten pas in 2025.",2023-08-04T09:16:17+0200,NL
0,https://www.demorgen.be/snelnieuws/lichaam-van-sinead-o-connor-vrijgegeven-maar-doodsoorzaak-blijft-onduidelijk~b082d41a/,"Lichaam van Sinéad O’Connor vrijgegeven, maar doodsoorzaak blijft onduidelijk","Het lichaam van de overleden Ierse zangeres Sinéad O’Connor is vrijgegeven en overgedragen aan haar nabestaanden. Dat meldt de krant The Mirror. Over de doodsoorzaak is nog niets bekend. Het autopsierapport kan nog weken op zich laten wachten.Op woensdag 26 juli raakte bekend dat Sinéad O’Connor is overleden op 56-jarige leeftijd. De zangeres, bekend van hits als ‘Nothing Compares 2 U’ en ‘Troy’, werd bewusteloos aangetroffen in haar woning in Londen en werd ter plaatse doodverklaard, zo meldde de Metropolitan Police. Er zouden geen verdachte omstandigheden in het spel zijn, maar de exacte doodsoorzaak blijft nog een mysterie.Volgens The Mirror is het lichaam van de zangeres inmiddels vrijgegeven en overgedragen aan haar familieleden. John Thompson, griffier van het London Inner South Coroner’s Court, bevestigde aan The Irish Times dat er vooraf eerst “een autopsie werd uitgevoerd om een medische doodsoorzaak vast te stellen”. Het kan evenwel nog enkele weken duren voordat de resultaten bekend zijn. De conclusie van het autopsierapport kan openbaar worden gemaakt, mocht er een gerechtelijk onderzoek naar haar dood worden opgestart.",2023-08-04T08:02:05+0200,NL
0,https://www.demorgen.be/tv-cultuur/dit-mag-u-niet-missen-op-tv-vanavond~b2a6218f/,Dit mag u niet missen op tv vanavond,"Elke dag tipt de tv-redactie van De Morgen de beste en meest opvallende programma’s van de dag en ontdekkingen op Netflix, Streamz en co. Het volledige overzicht met de reguliere tv-programmatie vindt u in de tv-gids van De Morgen.Film. Frodo is vastberaden om de machtige en felbegeerde ring, die tovenaar Gandalf hem toevertrouwde, op Mount Doom in Mordor te vernietigen. Dit is de enige manier om te voorkomen dat de ring in de handen valt van Sauron, de duistere vorst van Mordor. Maar het reisgezelschap dat Frodo veilig naar Mordor moest leiden, is uit elkaar geslagen. Alleen Frodo’s trouwe vriend Sam is nog met hem op pad. De troepen van de boosaardige heerser van Mordor rukken steeds verder op. De strijd om Midden-Aarde barst nu pas echt los.Om 20.35 uur op Play4.Film. 2054. In Washington is een speciale afdeling opgezet die moordenaars oppakt nog vóór ze de moord plegen. John Anderton is één van de hoofddetectives die werkt voor deze zogenaamde ‘Precrime’-divisie, tot het systeem zegt dat hij binnen de 36 uur zelf een moord zal plegen. Aangezien John een rotsvast vertrouwen heeft in het systeem, begint hij te vermoeden dat iemand hem er wil inluizen. Er zit maar één ding op: vluchten om te kunnen onderzoeken hoe hij de misdaad kan voorkomen en dat aan de hand van het ‘minority report’ van Agatha.Om 22.50 uur op VTM 2.Film. Stanley is een saaie bankbediende die droomt van een leven vol glitter en glamour. Zijn leven verandert ingrijpend wanneer hij een antiek Scandinavisch masker met magische krachten vindt waardoor hij transformeert in een onweerstaanbare en gevatte superheld. In zijn nieuwe gedaante gaat Stanley de strijd aan met bankovervallers en de lokale maffia.Om 20.35 uur op Play6.Een ervaren politieagent met een trauma en een ambitieuze jonge officier van justitie. Rechercheur Mike en aanklaagster Jule wonen in Berlijn, kennen elkaar niet, maar zetten beiden op hun eigen manier vraagtekens bij het sterven van een veroordeelde crimineel in de gevangenis. Al snel blijken hun grootste tegenstanders niet de criminelen, maar de rotte appels in het eigen justitieapparaat.Op Netflix.De setting van Transatlantic lijkt ver weg van de Tweede Wereldoorlog. Hoe duister, rauw en verdrietig de meeste oorlogsfilms zijn, zo zonnig, charmant en optimistisch is het Marseille in deze historische dramaserie. Het script is gebaseerd op het waargebeurde verhaal over het Emergency Rescue Committee, geleid door Varian Fry, samen met Mary Jayne Gold en twee Joodse bondgenoten. Met gevaar voor eigen leven helpen ze vluchtelingen uit bezet Frankrijk ontsnappen, onder wie veel kunstenaars die op de opsporingslijst van de nazi’s staan. Meer dan tweeduizend mensen weten hierdoor de oorlog te overleven, zoals kunstenaar Max Ernst, filosoof Hannah Arendt en schrijver Heinrich Mann.Op Netflix.Yes Minister, Veep, The Thick of It, Years and Years, ja zelfs De 16: we zeggen niet gauw nee tegen goede politieke satire. Het is dus uitkijken naar White House Plumbers, een vijfdelige miniserie over de twee ‘loodgieters’, gespeeld door Woody Harrelson en Justin Theroux, die alles in het werk moesten stellen om de herverkiezing van Richard Nixon te verzekeren. Tot hun takenpakket behoorde ook een inbraak in het kantoor van de Democratische Partij. Hoe dat afliep weten we allemaal dankzij het Watergate-schandaal. Regisseur is David Mandel, die de laatste drie seizoenen van Veep produceerde en meeschreef aan Saturday Night Live, Seinfeld en Curb Your Enthusiasm. Dat zou dus beter moeten aflopen dan die beruchte inbraak.Op Streamz.Geen grote sterren, geen tot de verbeelding sprekende synopsis, geen spectaculaire scènes. En toch, het eerste seizoen van Somebody Somewhere behoorde tot het beste van wat ik vorig jaar zag. Een kleine maar o zo fijne reeks over enkele loners en outsiders die in een stadje ergens in het midden van de Verenigde Staten wonen. Te midden van al die kleurrijke personages heb je Sam, gespeeld door Bridget Everett, die deze reeks ook schreef. Getroubleerd door het verleden vindt ze een plaats en zichzelf terug. Het levert heerlijke tranches de vie op, nu eens grappig, dan weer schrijnend, steeds wonderschoon. Het tweede seizoen gaat verder op het ingeslagen pad, met opnieuw zeven relatief korte afleveringen. Kijken maar.Op Streamz.The Last of Us is nog maar net gedaan en daar is de volgende dystopische reeks alweer. Zou het dan toch iets met het tijdsgewricht te maken hebben? In Silo blijven er na een apocalyps nog 10.000 mensen over op aarde. Ze verblijven in een silo, die diep onder de grond verscholen zit – geen kat die weet hoe die daar komt – en waar ze volgens een aantal strikte regels moeten leven om te overleven. Alleen wil een ingenieur, gespeeld door Rebecca Ferguson (Dune, Mission: Impossible - Rogue Nation), er meer van weten. Het zou ook geen dystopische reeks zijn als ze in haar zoektocht geen donkere geheimen en vele leugens op het spoor komt.Op Apple TV+.",2023-08-04T08:02:00+0200,NL
0,https://www.demorgen.be/sport/eindelijk-is-er-een-voetbalschoen-speciaal-voor-vrouwen-maar-kevin-de-bruyne-draagt-hem-ook~b5e9834e/,Eindelijk is er een voetbalschoen speciaal voor vrouwen (maar Kevin De Bruyne draagt hem ook),"Het sportmerk Nike bracht voor het WK een voetbalschoen op de markt, speciaal ontwikkeld voor vrouwen. Dat was hoognodig, gezien de vele pijnklachten. Alleen: waarom draagt Rode Duivel Kevin De Bruyne de schoen ook?Eindelijk is er een speciaal voor vrouwen ontwikkelde voetbalschoen van een groot sportmerk. ‘Het werd tijd ook’, zegt de Amerikaanse international Crystal Dunn, door Nike naar voren geschoven om de Phantom Luna te promoten. Haar Nederlandse collega Jill Roord draagt het model ook op het WK in Australië en Nieuw-Zeeland. Ze scoorde er al drie keer mee.Belangrijker is dat de schoen misschien een probleem oplost waar veel voetbalsters last van hebben: ze spelen met pijn, omdat hun schoenen niet lekker zitten. Terwijl in sporten als atletiek, tennis en in het dagelijkse leven speciale vrouwenmodellen de norm zijn, spelen voetbalsters meestal op schoenen die primair voor mannenvoeten zijn ontwikkeld. De nieuwsgierigheid naar het nieuwe model is daarom groot, ook omdat er een plaag is van blessures, vooral aan de kruisband.‘De schoen lijkt heel logisch in elkaar te zitten’, zegt Maikel Caarels, de podotherapeut van de voetballers en voetbalsters van FC Twente. Een bredere voorvoet, smallere hiel, het buigpunt onder de bal van de voet, minder hoge noppen. ‘Dat zijn eigenschappen die passen bij een vormgeving voor een vrouwenvoet.’Hij zegt het met enige terughoudendheid, want hij heeft de schoenen nog niet in zijn handen gehad. Dat gaat zeker gebeuren, want hij wil weten of het iets kan zijn voor de voetbalsters van Twente, die vaak bij hem aankloppen omdat ze last hebben van slecht zittend schoeisel. ‘Ik schat dat zo’n 40 procent van de Twente-vrouwen bij mij komt, bij de mannen zit dat op 10, hooguit 20 procent.’De Twentse voetbalsters bevinden zich met hun pijnlijke voeten in goed gezelschap. De European Club Association (ECA) bracht onlangs de resultaten van een onderzoek naar buiten naar de schoenen van 350 topvoetbalsters. De verontrustende conclusie: 82 procent van de speelsters zei pijn aan de voeten te hebben tijdens het voetballen.Het is eigenlijk geen wonder want voetbalschoenen zijn over het algemeen ontwerpen voor mannenvoeten. Die zijn rechthoekiger dan vrouwenvoeten, die meer de vorm hebben van een trapezium: smal bij de hiel, van voren juist breder. Een kleinere maat lost dus vaak niks op: als de hiel past, is de schoen voorin te smal en andersom.‘Voetbalsters komen bijna altijd vanwege problemen specifiek met hun voet’, zegt Caarels. ‘Vaak omdat het voorin knelt of omdat de wreef te hoog is.’ Er gaat dus duidelijk iets mis met de pasvorm en dat is niet zo bij voetballers, die vaak elders in het lichaam klachten hebben. ‘Bij vrouwen zie ik amper problemen boven de knie.’De podotherapeut kan de voetbalsters soms, tijdelijk, helpen. ‘Het is tegenwoordig allemaal kunststof’, legt hij uit. ‘Door het te verwarmen kun je het wat wijder maken, of juist weer wat smaller.’ Inlegzooltjes zijn ook veelgebruikt en de smallere hiel wordt vaak ‘opgelost’ met enkelbeschermers en dikke kousen.Of de Phantom Luna die problemen op gaat lossen, moet nog blijken. Enige scepsis is op zijn plaats, want dit model is niet het eerste waarvan een groot sportmerk beweert dat het speciaal voor vrouwen is ontwikkeld. Adidas kwam al in 1975 met de Anja, een witte schoen, wat toen nog uitzonderlijk was. Ook Puma introduceerde al modellen die beter zouden zijn voor vrouwen.Nike adverteerde zelf al eerder voor schoenen met voetbalsters. ‘De splinternieuwe Tiempo 10 is gemaakt voor spelers als Rose Lavelle’. Volgens de slogan waren die schoenen ook al perfect voor de Amerikaanse international: Jouw voeten. Jouw pasvorm.Vaak zijn het modellen die enigszins zijn aangepast, maar wel op mannelijke leest zijn geschoeid. Omdat voetbal zo’n grote sport is, is het bestaande aanbod wel enorm. Veel voetbalsters kunnen er daarom toch mee uit de voeten.De Nederlandse routiniers Stefanie van der Gragt (Nike) en Sherida Spitse (Puma) lopen bijvoorbeeld al jaren mee, maar zeggen allebei dat hun voetbalschoenen prima passen. ‘Ik krijg de mijne gewoon opgestuurd’, zegt Spitse die wordt gesponsord door het Duitse merk. ‘En ze zitten eigenlijk altijd goed.’ Lachend: ‘Mijn voeten zijn natuurlijk pareltjes.’De Phantom Luna wordt geïntroduceerd op het moment dat er in het vrouwenvoetbal een plaag is van kruisbandblessures. Op het WK ontbreekt een heel elftal aan spelers, onder wie Vivianne Miedema, die bijna een jaar zoet zijn met hun revalidatie. Nike doet geen medische claims, maar het cirkelvormige noppenpatroon van de nieuwe schoen – door de fabrikant Cyclone 360 gedoopt – lijkt er op gericht om de kans op die blessure te verminderen.‘Je wilt zo min mogelijk rotationele tractie’, zegt Caarels. Weinig weerstand bij het draaien en keren bedoelt hij daarmee. ‘Om te voorkomen dat een speelster vast blijft staan in het veld. Ik kan me voorstellen dat die ronde plaatsing daarbij helpt.’Misschien is het daarom geen toeval dat ook de blessuregevoelige Kevin De Bruyne de nieuwe schoenen test. De ster van Manchester City en België werd ermee gespot op een training. Voor Nike zou het goed zijn als een bekende voetballer deze schoen gaat dragen. Dat het merk de Phantom Luna introduceert zegt iets over de groei van het vrouwenvoetbal, maar de markt voor de mannen is nog altijd veel groter.‘Ik zou zeggen: probeer het vooral’, adviseert Caarels. Niet alle vrouwenvoeten zijn immers even trapeziumvormig en niet alle mannenvoeten precies rechthoekig. ‘Waar ik wel mijn bedenkingen bij heb: een schoen voor vrouwen zou soepeler moeten zijn. Mannen hebben een stijvere zool nodig omdat ze meer kracht hebben. Als deze zool flexibeler is, zeg ik: mannen, blijf er vooral bij weg.’",2023-08-04T07:47:36+0200,NL
0,https://www.demorgen.be/snelnieuws/tuur-dens-zorgt-met-brons-in-scratch-voor-eerste-belgische-medaille-op-super-wk~b5096926/,Tuur Dens zorgt met brons in scratch voor eerste Belgische medaille op Super-WK,"Op de openingsdag van het WK baan in Glasgow pakte ons land meteen een medaille. Een alerte Tuur Dens reed in de Sir Chris Hoy Velodrome naar brons in de scratch. Opsteker nadat hij één week geleden nog ziek aan de kant stond. ‘Door die gebrekkige voorbereiding wist ik niet of ik 100 procent fit was. Maar de benen waren er wel.’Scratch is een koers met massastart over 15 kilometer, waarbij het eenvoudige principe geldt: wie aan het eind als eerste over de finish komt, wint. Kolfje naar de hand van Tuur Dens (Team Flanders-Baloise). De 23-jarige Rotselaarnaar werd in 2017 al Belgisch juniorenkampioen in het nummer, pakte op het EK U23 in ‘21 brons en in ‘22 zilver en verraste later dat jaar in zijn eerste prof-WK ooit in Roubaix met zilver. Vorig jaar, op het WK in Parijs, strandde hij op plaats vier.En nu werd het dus brons. Dens reed een zeer aandachtige koers en roerde zich (misschien net iets te nadrukkelijk) bij de schaarse aanvallen mee in de achtervolging. Uiteindelijk haalde de Brit Tidball het in de eindspurt voor de Japanner Kuboki. Dens gooide zich met een laatste krachtinspanning óp de streep nog voorbij onder meer Eefting en Grondin. Brons! Het maximum haalbare nadat hij zijn voorbereiding vorige week nog grondig verstoord zag wegens ziekte.“Ik denk dat er meer in zat”, aldus Dens, die de wedstrijd goed dicht hield. “Da’s mijn favoriete tactiek: op slot en dan sprinten. Maar ik moest mijn eindschot van iets te ver beginnen, twijfelde wat op het einde om me te positioneren. Door die gebrekkige voorbereiding wist ik niet of ik 100% fit was en zou kunnen doen wat ik normaal doe. Maar de benen waren er wel, je zag duidelijk dat ik nog iets over had. Zo’n ultieme jump is echt wel iets wat ik kan, da’s op mijn lijf geschreven. Gewoon twee ronden keihard rijden en dan finishen.”Voor de start praatte bondscoach Kenny De Ketele nog even op Dens in. Wat hij precies vertelde? (lacht) “Het was niet echt tactisch. Eerder luchtig. Op het hoogtepunt van stress kwam hij me op mijn gemak stellen. Gewoon nog even zeggen waarom ik hier ben, waarom ik het verdiend heb... Zo van ‘we zien wel, doe je best’. Dat werkt het best bij mij.”Het brons was voor Dens een kleine troostprijs voor de gemiste kwalificatie in de ploegenachtervolging (met Bernard, Pollefliet en Vandenbranden), eerder op de dag. “Op zich deden we het niet superslecht. We werden negende en de beste tien landen mogen naar de Olympische Spelen 2024 in Parijs. Dus daar doen we in principe wel een goeie zaak voor. Maar door die ziekte(s) (ook De Vylder werd getroffen) raakten we enkele procentjes vertrouwen kwijt. Waardoor het niet onze beste ploegenachtervolging werd. Dat doet wel pijn op zo’n groot toernooi.”",2023-08-04T07:25:02+0200,NL
0,https://www.demorgen.be/snelnieuws/opnieuw-buien-en-kans-op-onweer-temperaturen-tot-21-graden~bb251ef7/,"Opnieuw buien en kans op onweer, temperaturen tot 21 graden","Er is vrijdag veel bewolking met buien en op sommige plaatsen onweer. Het kwik klimt tot 15 of 16 graden in de Ardennen en tot 20 of 21 graden in het centrum van het land. Dat zegt het KMI.‘s Avonds en ‘s nachts blijft het grotendeels droog, met eerst brede opklaringen en later in de nacht weer meer wolken. De minima liggen tussen 8 en 15 graden.Zaterdag begint vrijwel droog met eventueel opklaringen en plaatselijk zeer lichte regenval. Al snel neemt de bewolking toe en na de middag gaat het regenen. In de loop van de avond en nacht zijn er fikse buien met kans op onweer. De temperaturen gaan niet hoger dan 15 à 20 graden.Ook zondag is het eerst nog zwaarbewolkt met regen of buien en kans op onweer. In de namiddag wordt het over het westen en zuidwesten mogelijk droger met opklaringen. Het is winderig en fris met maximumtemperaturen van 12 tot 18 graden.Maandag wisselen zon en wolken elkaar af, met tussendoor enkele buien. Maxima tussen 15 en 20 graden. Dinsdag neemt de bewolking weer de overhand, met kans op neerslag en temperaturen tot 16 à 20 graden.Nadat woensdagochtend nog wat wolkenvelden zijn gepasseerd, wordt het woensdagnamiddag en donderdag zonniger en warmer. Het kwik klimt tot wel 25 graden.",2023-08-04T07:23:35+0200,NL
0,https://www.demorgen.be/snelnieuws/ik-ben-zeker-van-de-afloop-siegfried-bracke-start-rechtszaak-om-pensioenextra-s-te-behouden~bd4717d9/,‘Ik ben zeker van de afloop’: Siegfried Bracke start rechtszaak om pensioenextra’s te behouden,"Oud-Kamervoorzitter Siegfried Bracke (N-VA) is met een verzoekschrift van 55 pagina’s bij de Raad van State zijn strijd tegen de inhouding van zijn pensioenbonussen ­begonnen. Dat berichten de Mediahuis-kranten vrijdag.De affaire barstte in maart 2023 los. Toen bleek dat de hoge ambtenaren en de oud-voorzitters van de Kamer via ‘pensioenextra’s’ boven het wettelijke maximum voor de pensioenen kwamen. Die vergoedingen waren bovendien niet volgens de wettelijke wegen tot stand gekomen. Acht hoge ambtenaren kregen samen 5,9 miljoen euro. Voor Bracke ging het om 126.000 euro aan bonussen.De Kamer vroeg de betrokkenen om hun extra vergoedingen terug te storten. Open Vld’er en oud-Kamervoorzitter Herman De Croo stortte prompt zijn 210.000 euro terug, Bracke heeft dat altijd geweigerd. Er was “niets duisters of illegaals” aan de regeling, zei hij.Dat Bracke kans maakt met zijn procedure blijkt uit het kortgeding waarin twee ambtenaren van de Kamer gelijk kregen. De rechter oordeelde in hun zaak dat de Federale Pensioendienst (FPD) hun pensioenen niet zomaar mocht verminderen. Tot de zaak ten gronde wordt uitgesproken, moet de FPD hen uitbetalen als voorheen.“Ik maak mij geen illusies, ze zijn daar niet de snelste van de wereld. Het zal nog wel even duren voor ik daar effect van zie. Maar ik ben wel zeker van de afloop. De Kamer heeft een eindeloze reeks fouten gemaakt en talloze rechtsprincipes geschonden”, zo wordt Bracke in Het Nieuwsblad geciteerd.",2023-08-04T06:56:00+0200,NL
0,https://www.demorgen.be/snelnieuws/tientallen-gewonden-en-arrestaties-bij-eritrea-festival-zweden~b0d0050f/,Tientallen gewonden en arrestaties bij Eritrea-festival Zweden,"Tientallen mensen zijn gewond geraakt toen een Eritrees cultureel festival in de Zweedse hoofdstad Stockholm ontaardde in chaos. Zweedse media berichten dat zo’n duizend demonstranten het terrein bestormden. Volgens de politie hadden 52 mensen medische hulp nodig.Tijdens de ongeregeldheden raakten drie politieagenten gewond. Twee konden doorwerken, maar de derde moest naar het ziekenhuis vervoerd worden voor een medisch onderzoek, zo laat de politie weten. Het is volgens de politie onduidelijk of de agenten slachtoffer werden van een misdrijf of dat ze gewond raakten door ongelukken tijdens de chaos.De politie heeft ook zo’n 180 personen opgepakt, onder wie een persoon op verdenking van brandstichting. Ongeveer 140 mensen werden aangehouden in verband met de ongeregeldheden. Ook werden ongeveer 40 mensen opgepakt, omdat ze volgens de politie niet in staat waren aan te tonen dat ze legaal in het land verbleven.Het festival gold als omstreden, omdat de organisatie banden zou hebben met het dictatoriale regime in Eritrea. Zweedse media berichten dat tegenstanders zich in de omgeving hadden verzameld om te demonstreren. Ze rukten vervolgens op naar het festivalterrein.Relschoppers zouden met stenen hebben gegooid naar agenten en festivaltenten omver hebben getrokken. Ooggetuigen spreken over chaotische toestanden en gevechten. De politie zegt dat sprake was van “gewelddadige rellen” en probeerde de orde te herstellen.Medische hulpverleners verklaarden dat aan het begin van de avond zo’n vijftien mensen met verwondingen waren overgebracht naar ziekenhuizen. Zeker acht personen zouden ernstig letsel hebben opgelopen. Het zou door de chaos bij het festivalterrein nog onduidelijk zijn hoeveel mensen in totaal gewond raakten.De onrust leidde ook tot materiële schade. Op beelden is te zien dat voertuigen en een tent in brand staan. De autoriteiten zagen zich genoodzaakt een snelweg in de buurt deels af te zetten, omdat vluchtende mensen de weg blokkeerden.Het komt in Europa vaker tot aanvaringen tussen voor- en tegenstanders van het Eritrese regime. Eritrea ligt in het noordoosten van Afrika en wordt al tientallen jaren bestuurd door dictator Isaias Afewerki.",2023-08-04T06:48:00+0200,NL
